rank,team,conf,games,record,adjoe,adjde,barthag,efgp,efgdp,tor,tord,orb,drb,ftr,ftrd,2pp,2ppd,3pp,3ppd,3pr,3prd,adjt,wab
209,Oral Roberts,Sum,30,15-15,95.7,100.7,.3562,48.5,51.2,19.8,23.6,25.9,32.6,29.6,29.8,46.8,51.8,35.4,33.4,27.1,35.4,75.6,-9.8
210,SIU Edwardsville,OVC,32,16-16,88.4,93.3,.3502,44.5,44.5,23.3,18.8,32.1,26.4,24.7,28.6,43.5,42.9,30.6,32.5,38.9,26.9,65.0,-13.7
211,Radford,BSth,34,22-12,87.4,92.3,.3467,45.0,43.2,20.9,24.8,28.6,28.9,25.8,28.7,43.7,42.5,31.4,29.7,38.0,33.9,69.2,-9.3
212,Norfolk St.,MEAC,32,18-14,81.6,86.3,.3465,40.6,38.7,24.0,26.6,32.5,34.9,27.3,32.0,39.6,37.9,28.3,26.9,33.2,32.0,70.6,-9.4
213,UT Rio Grande Valley,Slnd,33,20-13,91.4,96.9,.3387,45.1,43.4,23.5,15.8,32.9,27.7,33.8,23.5,43.4,42.0,32.4,30.7,31.2,34.7,67.8,-9.3
214,St. Bonaventure,A10,31,16-15,88.2,93.5,.3372,45.9,45.6,22.5,22.9,25.9,29.2,24.6,25.3,46.7,46.2,29.4,29.8,29.2,40.8,68.0,-12.0
215,Loyola Chicago,A10,31,14-17,86.4,91.6,.3371,43.1,46.0,23.6,26.2,28.7,36.0,28.0,32.0,44.7,47.3,26.5,28.7,31.8,29.5,66.1,-12.4
216,Binghamton,AE,31,19-12,93.0,98.8,.3329,46.9,46.7,23.9,23.9,33.4,35.8,30.0,28.0,46.0,48.7,32.6,29.0,30.3,37.0,66.1,-8.5
217,Eastern Michigan,MAC,29,13-16,91.9,97.7,.3313,46.9,47.3,23.6,21.2,30.1,30.5,28.3,33.1,49.7,48.5,27.8,30.0,34.7,35.1,68.3,-12.1
218,Memphis,Amer,31,10-21,82.9,88.2,.3282,41.0,43.8,21.3,25.2,27.3,33.4,27.5,34.4,42.6,43.4,24.2,30.0,24.6,26.5,74.9,-17.1
219,Chattanooga,SC,30,20-10,91.1,97.0,.3268,47.0,45.0,22.7,22.9,33.6,27.9,23.9,30.8,46.3,43.4,32.1,32.0,36.2,35.7,65.4,-8.4
220,Jacksonville St.,CUSA,32,16-16,89.8,95.6,.3263,44.8,45.9,22.6,20.5,31.4,28.4,28.1,25.6,43.2,45.6,31.4,31.2,42.6,26.4,64.2,-13.7
221,Southeast Missouri St.,OVC,32,14-18,89.3,95.2,.3256,45.9,45.9,22.9,22.9,25.6,32.0,35.6,34.6,46.8,44.4,29.5,32.6,33.5,32.4,71.3,-14.9
222,Monmouth,CAA,31,20-11,88.1,94.2,.3166,44.3,43.1,24.3,24.5,36.4,33.7,31.4,27.5,45.6,42.0,27.9,30.5,33.8,29.8,66.1,-9.3
223,William & Mary,CAA,31,17-14,85.1,91.0,.3166,43.5,42.9,22.7,24.4,31.8,34.5,23.4,28.2,44.5,40.9,27.4,31.0,30.9,35.5,67.7,-12.1
224,Nevada,MWC,31,10-21,86.5,92.6,.3142,42.0,45.6,24.1,22.0,31.5,29.5,28.8,24.6,44.5,46.5,23.0,29.3,24.7,34.7,66.4,-17.3
225,Wyoming,MWC,30,10-20,85.4,91.5,.3117,45.4,44.9,23.2,16.8,19.6,26.8,18.0,21.6,46.3,44.7,29.3,30.2,39.7,31.7,64.6,-15.0
226,Saint Louis,A10,33,12-21,85.3,91.5,.3087,40.7,44.2,24.8,23.0,32.5,35.3,32.6,29.7,41.9,43.8,25.4,30.1,30.1,33.6,71.7,-17.2
227,Elon,CAA,32,16-16,90.1,96.8,.3060,43.6,45.7,25.3,26.6,38.9,33.8,27.6,35.0,44.4,46.5,27.8,29.5,31.1,35.1,68.7,-13.7
228,UT Arlington,WAC,33,12-21,84.3,90.6,.3040,42.9,44.4,27.3,24.7,28.7,33.3,38.1,37.1,42.1,45.1,30.7,28.8,21.0,33.6,71.2,-16.5
229,Northwestern St.,Slnd,32,18-14,86.9,93.4,.3035,44.0,44.5,26.5,20.7,36.0,28.7,27.8,30.6,41.7,44.3,31.9,30.0,37.7,30.9,66.3,-10.1
230,Campbell,CAA,32,20-12,85.4,91.9,.3012,44.1,41.3,25.5,23.9,35.4,34.3,30.0,31.6,43.9,39.2,29.6,30.4,33.3,32.3,64.1,-10.4
231,Southern,SWAC,32,19-13,83.4,89.7,.3009,41.9,43.6,23.8,29.9,33.6,36.5,32.8,42.8,39.4,45.6,32.7,26.2,25.8,31.3,68.8,-7.3
232,UC Riverside,BW,32,11-21,89.2,96.1,.2988,44.3,47.0,22.7,22.8,25.7,30.7,27.2,32.5,44.2,45.7,29.6,33.0,41.0,33.9,68.1,-17.6
233,Utah Tech,WAC,29,9-20,86.6,93.3,.2979,44.6,43.1,22.9,20.1,22.4,30.1,27.7,30.1,44.9,42.2,29.5,30.0,47.0,31.8,70.8,-17.6
234,Alabama A&M,SWAC,32,22-10,82.3,88.9,.2921,42.5,42.1,27.8,28.1,36.9,33.0,42.8,35.1,44.0,41.8,25.6,28.5,26.1,34.9,66.8,-6.3
235,Tennessee Tech,OVC,29,15-14,91.0,98.5,.2870,42.0,48.1,22.3,22.7,38.4,28.9,31.2,29.8,39.5,50.4,30.9,28.0,36.0,27.8,67.7,-11.7
236,Duquesne,A10,31,12-19,85.3,92.3,.2868,42.9,44.3,27.3,22.3,33.7,31.3,24.4,29.3,40.0,41.7,31.9,32.1,37.3,40.7,70.7,-15.7
237,Wofford,SC,29,16-13,89.4,96.8,.2843,43.3,43.9,19.3,18.6,30.2,29.6,23.8,23.4,43.0,44.3,29.1,28.8,34.6,34.7,66.4,-10.7
238,North Alabama,ASun,31,17-14,86.7,94.0,.2831,45.0,43.8,22.2,20.2,29.5,28.6,24.2,29.2,45.9,44.2,28.8,28.6,33.8,35.3,68.7,-11.3
239,Merrimack,MAAC,31,19-12,88.6,96.3,.2757,45.7,43.7,23.9,23.4,33.3,32.6,25.4,24.4,46.0,43.5,30.2,29.3,36.5,37.2,71.3,-9.8
240,West Georgia,ASun,31,18-13,94.5,103.0,.2698,48.6,46.3,23.9,21.4,30.8,32.5,36.0,29.5,48.4,48.3,32.6,28.3,43.3,34.7,69.8,-9.8
241,Florida Atlantic,Amer,32,14-18,87.4,95.3,.2688,44.4,46.8,24.9,22.9,26.8,34.2,31.0,32.7,44.0,46.4,30.1,31.9,37.5,28.0,69.6,-14.3
242,Little Rock,OVC,31,15-16,86.1,94.1,.2636,40.7,43.9,22.6,21.8,30.6,31.0,30.0,33.3,39.8,44.6,28.7,28.3,27.3,32.9,67.4,-12.5
243,Weber St.,BSky,33,11-22,85.8,94.0,.2598,45.4,45.9,25.1,21.6,22.3,32.0,28.3,29.7,43.6,43.9,32.1,33.2,39.6,34.0,70.1,-17.3
244,Towson,CAA,31,17-14,89.9,98.7,.2564,43.6,43.8,20.6,19.8,31.4,33.5,28.7,28.9,42.0,42.5,31.0,32.1,36.6,22.6,70.5,-11.2
245,Nicholls St.,Slnd,31,15-16,85.4,94.0,.2498,41.6,45.5,21.7,27.0,32.2,34.0,34.7,33.1,43.3,42.3,24.8,34.1,27.3,35.2,68.5,-14.7
246,VCU,A10,31,8-23,84.5,93.1,.2482,41.9,47.7,25.7,23.0,30.2,32.3,22.3,25.4,41.8,49.2,28.1,30.2,34.0,39.2,69.2,-16.0
247,East Tennessee St.,SC,31,18-13,83.2,91.8,.2434,39.3,42.7,20.5,23.1,30.7,30.3,31.5,27.2,38.8,40.6,26.7,31.3,34.5,33.1,64.0,-9.9
248,Pittsburgh,ACC,31,8-23,88.9,98.2,.2432,41.6,48.5,22.3,17.8,28.3,32.7,21.2,19.5,41.1,46.2,28.7,34.8,27.9,38.8,69.8,-13.5
249,IU Indy,Horz,31,14-17,88.2,97.6,.2378,44.0,49.8,22.9,26.1,28.2,35.6,41.5,35.0,45.4,52.3,27.5,29.8,35.3,32.0,70.1,-14.4
250,Georgia St.,SB,31,10-21,91.8,101.7,.2355,42.9,50.3,19.2,26.5,27.7,42.7,34.3,34.3,43.2,51.7,28.2,32.2,38.3,39.1,71.0,-16.4
251,Oakland,Horz,31,10-21,92.7,102.7,.2349,44.8,51.3,23.8,18.3,31.2,29.6,27.7,27.7,44.1,51.1,30.6,34.5,37.5,34.8,68.2,-16.5
252,San Diego,WCC,33,11-22,83.3,92.4,.2334,39.3,45.3,25.5,20.3,34.6,29.8,27.5,27.5,39.2,44.8,26.4,30.8,29.1,34.0,67.6,-17.5
253,Delaware,CUSA,32,13-19,85.7,95.1,.2317,44.7,45.8,25.5,22.5,28.9,31.0,29.3,24.2,44.4,47.0,30.3,28.8,32.4,32.7,69.7,-16.7
254,Fordham,A10,30,10-20,85.1,94.5,.2290,40.5,45.4,25.3,27.0,37.6,37.1,24.0,37.4,39.6,45.0,28.3,30.7,30.6,35.6,68.6,-16.4
255,Northern Arizona,BSky,32,10-22,89.9,100.0,.2283,44.5,49.2,22.5,21.9,26.9,32.2,32.6,26.8,42.1,50.6,33.0,31.4,32.5,40.0,73.2,-18.3
256,Longwood,BSth,31,21-10,86.6,96.3,.2275,44.1,46.0,23.0,29.0,36.5,37.0,28.8,24.2,43.7,47.9,30.0,28.2,32.0,34.3,75.1,-7.7
257,Maryland Eastern Shore,MEAC,33,19-14,81.0,90.1,.2267,40.3,43.8,28.2,28.3,34.6,34.4,38.1,39.1,40.2,41.6,27.2,32.4,22.1,32.0,70.5,-10.7
258,Evansville,MVC,35,10-25,91.3,101.7,.2228,45.1,49.5,21.4,19.9,29.2,31.4,28.6,37.4,43.7,50.4,31.7,31.8,36.5,33.0,70.8,-21.4
259,Tennessee Martin,OVC,30,13-17,86.8,96.9,.2203,44.5,45.7,22.1,21.7,20.8,34.0,32.8,26.3,44.9,44.5,29.2,31.5,31.4,41.8,65.9,-14.4
260,Kennesaw St.,CUSA,30,13-17,81.9,91.6,.2176,45.2,44.7,28.8,25.9,32.1,33.3,31.1,35.7,46.8,43.8,26.6,31.2,22.1,31.6,70.0,-14.3
261,Southern Illinois,MVC,30,10-20,88.0,98.5,.2149,43.7,49.3,20.3,20.8,29.8,30.4,28.4,36.3,43.8,51.7,28.9,29.9,21.0,35.0,69.9,-17.8
262,Texas St.,SB,30,11-19,84.1,94.6,.2046,43.1,46.1,27.6,24.8,32.5,35.1,32.2,34.1,43.5,44.4,27.7,32.8,23.0,35.4,69.7,-15.5
263,Stony Brook,CAA,33,18-15,84.1,94.6,.2043,42.2,44.3,27.6,23.7,37.4,34.8,28.2,21.4,41.5,45.0,29.0,28.6,35.4,32.8,64.2,-12.6
264,Western Michigan,MAC,29,9-20,83.0,93.5,.2042,43.5,47.2,25.8,22.2,25.4,31.0,27.8,27.4,43.5,47.1,29.1,31.7,43.9,30.8,66.5,-15.8
265,UMKC,Sum,30,7-23,90.1,101.5,.2041,43.8,52.5,21.8,23.5,32.6,34.8,25.6,32.5,42.1,51.9,32.4,35.6,25.6,36.1,67.0,-17.9
266,Montana,BSky,31,9-22,89.5,100.8,.2026,46.4,49.9,20.5,18.1,16.4,31.2,19.6,23.6,45.6,49.8,31.5,33.4,51.8,35.0,67.0,-16.8
267,Wichita St.,Amer,31,8-23,86.4,97.3,.2023,42.0,46.5,25.1,22.0,30.8,33.6,29.1,33.3,43.1,46.9,26.4,30.5,29.7,33.5,67.7,-19.6
268,Furman,SC,31,18-13,83.5,94.1,.2020,43.3,46.4,25.7,25.3,34.1,30.5,33.8,34.1,41.3,45.7,32.1,31.8,29.4,33.1,72.2,-9.5
269,Lipscomb,ASun,30,10-20,81.0,91.3,.2017,45.5,43.3,27.1,21.4,24.2,31.5,29.6,21.7,45.9,43.5,30.0,28.7,43.9,37.7,69.0,-17.5
270,Yale,Ivy,27,7-20,85.1,96.3,.1954,42.1,46.4,25.9,20.8,32.8,34.1,23.1,31.6,41.3,47.9,30.3,28.7,20.5,30.4,69.5,-16.0
271,Samford,SC,34,16-18,88.8,100.5,.1953,46.3,46.2,23.3,19.1,22.7,36.6,25.9,26.4,43.9,46.5,32.7,30.4,47.0,35.6,65.8,-13.4
272,UTEP,CUSA,30,13-17,89.5,101.9,.1830,43.0,49.8,23.5,23.6,32.5,31.7,29.8,30.0,42.0,47.7,30.1,36.0,30.4,33.7,70.6,-14.1
273,Cal St. Northridge,BW,30,10-20,82.0,93.4,.1815,44.5,44.2,28.3,24.1,29.2,35.9,27.8,34.5,45.1,44.7,29.0,28.9,41.8,35.6,72.8,-17.3
274,Mercer,SC,30,17-13,86.2,98.7,.1739,42.4,45.4,22.2,25.5,31.0,34.0,32.5,32.5,39.8,43.4,32.3,33.3,29.6,31.0,68.8,-11.6
275,Denver,Sum,30,11-19,83.2,95.3,.1735,43.2,49.9,24.1,23.4,25.1,33.2,26.7,24.0,43.4,49.5,28.6,33.9,38.0,33.9,67.6,-15.3
276,LIU,NEC,32,21-11,88.6,101.5,.1732,48.3,44.1,22.6,21.9,31.1,31.0,32.5,28.3,46.3,43.9,34.6,29.6,35.9,32.7,70.3,-9.9
277,North Florida,ASun,30,9-21,84.1,96.5,.1699,44.4,48.3,26.3,23.3,29.0,35.0,23.7,31.2,45.7,49.7,28.4,30.5,39.7,35.1,71.0,-17.3
278,Hofstra,CAA,33,11-22,81.6,93.8,.1665,41.5,45.8,24.5,22.6,31.6,33.3,20.9,28.6,40.2,45.9,29.7,30.5,30.7,36.0,65.2,-18.3
279,Incarnate Word,Slnd,30,13-17,93.1,107.2,.1653,45.6,48.2,24.3,19.6,33.3,35.2,30.5,27.7,45.7,48.8,30.3,31.2,41.9,28.5,68.6,-13.6
280,Cornell,Ivy,27,9-18,85.4,98.5,.1625,43.8,49.8,25.2,21.3,26.8,33.5,23.3,19.5,41.9,50.7,31.5,32.2,34.0,37.7,62.6,-14.2
281,Wright St.,Horz,32,10-22,88.4,102.0,.1614,44.6,49.6,20.4,21.3,25.5,31.7,24.1,31.5,40.4,50.1,34.3,32.4,37.6,36.7,68.1,-19.1
282,Iona,MAAC,32,20-12,84.5,97.7,.1586,41.3,43.7,20.7,23.6,33.1,32.0,24.1,27.5,41.3,44.5,27.5,27.8,33.4,29.8,66.2,-10.2
283,Indiana St.,MVC,32,10-22,93.0,107.5,.1583,43.2,50.3,20.4,18.3,31.9,32.5,36.7,42.0,44.1,49.3,27.4,34.7,29.2,35.1,76.5,-19.0
284,North Carolina A&T,CAA,30,12-18,84.6,97.9,.1565,43.0,45.8,29.1,23.2,35.8,33.3,38.9,29.2,43.4,43.9,28.0,32.7,31.4,37.0,68.2,-13.8
